Lake,Sample,genus,size,,
Lost,ZP8,daphnia,1.1,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,daphnia,0.7,,
Lost,ZP8,cyclopoida,0.7,,
Lost,ZP8,daphnia,1.2,,
Lillooet,ZP32,calanoid,3.5,,
Lillooet,ZP32,calanoid,0.8,,
Lillooet,ZP32,calanoid,0.8,,
Lillooet,ZP32,calanoid,0.8,,
Lillooet,ZP32,calanoid,0.8,,
Lillooet,ZP32,calanoid,0.8,,
Lillooet,ZP32,cyclopoida,0.7,,
Lillooet,ZP32,calanoid,0.6,,
Lillooet,ZP32,cyclopoida,0.5,,
Lillooet,ZP32,calanoid,1.1,,
Lillooet,ZP32,calanoid,1.2,,
Lillooet,ZP32,calanoid,1.1,,
Lillooet,ZP32,calanoid,0.7,,
Lillooet,ZP32,calanoid,0.4,,
Lillooet,ZP32,calanoid,0.8,,
Lillooet,ZP32,calanoid,0.8,,
Lillooet,ZP32,calanoid,0.8,,
Lillooet,ZP32,calanoid,0.9,,
Lillooet,ZP32,calanoid,0.9,,
